,College,F24 Enrollment Count,F24Retention Count,F24Success Count,F24Retention Rate,F24Success Rate,S24Enrollment Count,S24Retention Count,S24Success Count,S24Retention Rate,S24Success Rate,College Name
38,Ohlone Total,"1,308","1,199","1,039",91.67%,79.43%,918,794,643,86.49%,70.04%,Ohlone Total
39,Delayed Interaction (Internet Based) Total,"1,018",922,786,90.57%,77.21%,704,590,472,83.81%,67.05%,Ohlone Total
40,Accounting-050200,467,418,372,89.51%,79.66%,305,274,229,89.84%,75.08%,Ohlone Total
41,Customer Service-051800,0,0,0,0,0,5,4,4,80.00%,80.00%,Ohlone Total
42,Management Development and Supervision-050630,89,80,59,89.89%,66.29%,162,123,70,75.93%,43.21%,Ohlone Total
43,Marketing and Distribution-050900,259,245,212,94.59%,81.85%,78,73,65,93.59%,83.33%,Ohlone Total
44,Office Technology/Office Computer Applications-051400,62,53,34,85.48%,54.84%,36,28,22,77.78%,61.11%,Ohlone Total
45,Other Business and Management-059900,20,18,13,90.00%,65.00%,21,10,8,47.62%,38.10%,Ohlone Total
46,Real Estate-051100,121,108,96,89.26%,79.34%,97,78,74,80.41%,76.29%,Ohlone Total
47,Non Distance Education Methods Total,290,277,253,95.52%,87.24%,214,204,171,95.33%,79.91%,Ohlone Total
48,Accounting-050200,218,206,185,94.50%,84.86%,146,140,120,95.89%,82.19%,Ohlone Total
49,Marketing and Distribution-050900,72,71,68,98.61%,94.44%,68,64,51,94.12%,75.00%,Ohlone Total
0,Orange Coast Total,"2,737","2,480","2,190",90.61%,80.01%,"2,787","2,543","2,315",91.25%,83.06%,Orange Coast Total
1,Delayed Interaction (Internet Based) Total,675,603,534,89.33%,79.11%,975,892,808,91.49%,82.87%,Orange Coast Total
2,Accounting-050200,76,65,59,85.53%,77.63%,327,300,281,91.74%,85.93%,Orange Coast Total
3,"Business and Commerce, General-050100",281,249,212,88.61%,75.44%,337,319,281,94.66%,83.38%,Orange Coast Total
4,Business Management-050600,35,29,20,82.86%,57.14%,19,18,11,94.74%,57.89%,Orange Coast Total
5,Management Development and Supervision-050630,19,16,10,84.21%,52.63%,31,29,19,93.55%,61.29%,Orange Coast Total
6,Office Technology/Office Computer Applications-051400,15,12,6,80.00%,40.00%,10,9,9,90.00%,90.00%,Orange Coast Total
7,Real Estate-051100,197,181,181,91.88%,91.88%,191,166,166,86.91%,86.91%,Orange Coast Total
8,Small Business and Entrepreneurship-050640,52,51,46,98.08%,88.46%,60,51,41,85.00%,68.33%,Orange Coast Total
9,Non Distance Education Methods Total,"1,685","1,526","1,355",90.56%,80.42%,"1,513","1,379","1,258",91.14%,83.15%,Orange Coast Total
10,Accounting-050200,480,434,394,90.42%,82.08%,488,423,377,86.68%,77.25%,Orange Coast Total
11,Advertising-050910,79,78,78,98.73%,98.73%,60,59,58,98.33%,96.67%,Orange Coast Total
12,"Business and Commerce, General-050100",751,660,554,87.88%,73.77%,669,612,540,91.48%,80.72%,Orange Coast Total
13,Business Management-050600,42,41,35,97.62%,83.33%,29,28,26,96.55%,89.66%,Orange Coast Total
14,Display-050960,22,20,16,90.91%,72.73%,0,0,0,0,0,Orange Coast Total
15,E-Commerce (Business emphasis)-050970,19,19,13,100.00%,68.42%,0,0,0,0,0,Orange Coast Total
16,International Business and Trade-050800,0,0,0,0,0,11,11,11,100.00%,100.00%,Orange Coast Total
17,Marketing and Distribution-050900,140,134,129,95.71%,92.14%,111,107,107,96.40%,96.40%,Orange Coast Total
18,Real Estate-051100,48,42,42,87.50%,87.50%,42,39,39,92.86%,92.86%,Orange Coast Total
19,Sales and Salesmanship-050940,104,98,94,94.23%,90.38%,103,100,100,97.09%,97.09%,Orange Coast Total
20,Simultaneous Interaction (Internet Based) Total,377,351,301,93.10%,79.84%,299,272,249,90.97%,83.28%,Orange Coast Total
21,Accounting-050200,266,248,221,93.23%,83.08%,145,138,134,95.17%,92.41%,Orange Coast Total
22,"Business and Commerce, General-050100",44,39,35,88.64%,79.55%,98,88,69,89.80%,70.41%,Orange Coast Total
23,Marketing and Distribution-050900,24,22,13,91.67%,54.17%,30,24,24,80.00%,80.00%,Orange Coast Total
24,Tax Studies-050210,43,42,32,97.67%,74.42%,26,22,22,84.62%,84.62%,Orange Coast Total
25,Oxnard Total,157,62,52,39.49%,33.12%,672,597,528,88.84%,78.57%,Oxnard Total
26,Delayed Interaction (Internet Based) Total,72,0,0,0.00%,0.00%,622,555,488,89.23%,78.46%,Oxnard Total
27,Accounting-050200,31,0,0,0.00%,0.00%,266,235,200,88.35%,75.19%,Oxnard Total
28,Banking and Finance-050400,0,0,0,0,0,22,18,16,81.82%,72.73%,Oxnard Total
29,Business Administration-050500,3,0,0,0.00%,0.00%,133,124,112,93.23%,84.21%,Oxnard Total
30,"Business and Commerce, General-050100",0,0,0,0,0,22,19,16,86.36%,72.73%,Oxnard Total
31,Business Management-050600,24,0,0,0.00%,0.00%,179,159,144,88.83%,80.45%,Oxnard Total
32,Logistics and Materials Transportation-051000,6,0,0,0.00%,0.00%,0,0,0,0,0,Oxnard Total
33,Small Business and Entrepreneurship-050640,8,0,0,0.00%,0.00%,0,0,0,0,0,Oxnard Total
34,Non Distance Education Methods Total,85,62,52,72.94%,61.18%,50,42,40,84.00%,80.00%,Oxnard Total
35,Accounting-050200,14,0,0,0.00%,0.00%,0,0,0,0,0,Oxnard Total
36,Business Management-050600,44,36,31,81.82%,70.45%,23,17,16,73.91%,69.57%,Oxnard Total
37,Small Business and Entrepreneurship-050640,27,26,21,96.30%,77.78%,27,25,24,92.59%,88.89%,Oxnard Total
38,Palo Verde Total,633,586,467,92.58%,73.78%,606,548,459,90.43%,75.74%,Palo Verde Total
39,Delayed Interaction (Internet Based) Total,23,22,14,95.65%,60.87%,7,6,3,85.71%,42.86%,Palo Verde Total
40,Business Management-050600,23,22,14,95.65%,60.87%,7,6,3,85.71%,42.86%,Palo Verde Total
41,"Text one-way (e.g. newspaper, correspondence, etc.) Total",610,564,453,92.46%,74.26%,591,534,451,90.36%,76.31%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
42,Accounting-050200,75,69,50,92.00%,66.67%,56,53,40,94.64%,71.43%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
43,Banking and Finance-050400,69,51,42,73.91%,60.87%,0,0,0,0,0,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
44,Business Administration-050500,43,38,33,88.37%,76.74%,45,42,37,93.33%,82.22%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
45,Business Management-050600,375,359,292,95.73%,77.87%,441,393,336,89.12%,76.19%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
46,Marketing and Distribution-050900,0,0,0,0,0,25,23,18,92.00%,72.00%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
47,Small Business and Entrepreneurship-050640,21,21,15,100.00%,71.43%,24,23,20,95.83%,83.33%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
48,Tax Studies-050210,27,26,21,96.30%,77.78%,0,0,0,0,0,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
49,Two-way interactive video and audio Total,0,0,0,0,0,8,8,5,100.00%,62.50%,Two-way interactive video and audio Total
0,Accounting-050200,0,0,0,0,0,8,8,5,100.00%,62.50%,Two-way interactive video and audio Total
1,Palomar Total,"3,648","3,394","2,987",93.04%,81.88%,"3,238","3,006","2,589",92.84%,79.96%,Palomar Total
2,Delayed Interaction (Internet Based) Total,"1,473","1,354","1,148",91.92%,77.94%,"1,489","1,381","1,144",92.75%,76.83%,Palomar Total
3,Accounting-050200,421,373,318,88.60%,75.53%,391,356,299,91.05%,76.47%,Palomar Total
4,Advertising-050910,69,68,56,98.55%,81.16%,88,82,69,93.18%,78.41%,Palomar Total
5,Banking and Finance-050400,67,59,46,88.06%,68.66%,68,63,54,92.65%,79.41%,Palomar Total
6,Business Administration-050500,125,120,106,96.00%,84.80%,293,286,250,97.61%,85.32%,Palomar Total
7,"Business and Commerce, General-050100",362,343,291,94.75%,80.39%,278,269,229,96.76%,82.37%,Palomar Total
8,E-Commerce (Business emphasis)-050970,40,39,35,97.50%,87.50%,0,0,0,0,0,Palomar Total
9,International Business and Trade-050800,32,32,22,100.00%,68.75%,17,17,10,100.00%,58.82%,Palomar Total
10,Logistics and Materials Transportation-051000,0,0,0,0,0,34,33,24,97.06%,70.59%,Palomar Total
11,Marketing and Distribution-050900,39,39,37,100.00%,94.87%,41,37,33,90.24%,80.49%,Palomar Total
12,Medical Office Technology-051420,59,57,55,96.61%,93.22%,62,56,38,90.32%,61.29%,Palomar Total
13,Office Technology/Office Computer Applications-051400,94,71,58,75.53%,61.70%,105,94,72,89.52%,68.57%,Palomar Total
14,Real Estate-051100,165,153,124,92.73%,75.15%,112,88,66,78.57%,58.93%,Palomar Total
15,Non Distance Education Methods Total,"2,139","2,005","1,809",93.74%,84.57%,"1,749","1,625","1,445",92.91%,82.62%,Palomar Total
16,Accounting-050200,330,304,233,92.12%,70.61%,330,311,232,94.24%,70.30%,Palomar Total
17,Business Administration-050500,235,218,164,92.77%,69.79%,147,138,110,93.88%,74.83%,Palomar Total
18,"Business and Commerce, General-050100",142,134,104,94.37%,73.24%,166,151,127,90.96%,76.51%,Palomar Total
19,Business Management-050600,"1,296","1,225","1,211",94.52%,93.44%,945,877,870,92.80%,92.06%,Palomar Total
20,Marketing and Distribution-050900,34,32,22,94.12%,64.71%,35,32,29,91.43%,82.86%,Palomar Total
21,Real Estate-051100,30,26,22,86.67%,73.33%,32,30,19,93.75%,59.38%,Palomar Total
22,Small Business and Entrepreneurship-050640,36,34,26,94.44%,72.22%,33,28,19,84.85%,57.58%,Palomar Total
23,Tax Studies-050210,36,32,27,88.89%,75.00%,61,58,39,95.08%,63.93%,Palomar Total
24,Simultaneous Interaction (Internet Based) Total,36,35,30,97.22%,83.33%,0,0,0,0,0,Palomar Total
25,"Business and Commerce, General-050100",36,35,30,97.22%,83.33%,0,0,0,0,0,Palomar Total
26,Pasadena Total,"3,336","2,816","2,533",84.41%,75.93%,"3,394","2,583","2,324",76.10%,68.47%,Pasadena Total
27,Delayed Interaction (Internet Based) Total,"1,989","1,636","1,484",82.25%,74.61%,"1,934","1,414","1,253",73.11%,64.79%,Pasadena Total
28,Accounting-050200,510,417,377,81.76%,73.92%,557,434,405,77.92%,72.71%,Pasadena Total
29,Business Administration-050500,99,83,80,83.84%,80.81%,35,32,31,91.43%,88.57%,Pasadena Total
30,"Business and Commerce, General-050100",523,477,450,91.20%,86.04%,622,409,353,65.76%,56.75%,Pasadena Total
31,Business Management-050600,113,95,75,84.07%,66.37%,57,50,43,87.72%,75.44%,Pasadena Total
32,Customer Service-051800,28,27,24,96.43%,85.71%,48,46,36,95.83%,75.00%,Pasadena Total
33,International Business and Trade-050800,51,50,37,98.04%,72.55%,61,60,36,98.36%,59.02%,Pasadena Total
34,Marketing and Distribution-050900,175,125,105,71.43%,60.00%,69,23,19,33.33%,27.54%,Pasadena Total
35,Office Technology/Office Computer Applications-051400,402,283,265,70.40%,65.92%,352,249,235,70.74%,66.76%,Pasadena Total
36,Other Business and Management-059900,0,0,0,0,0,35,28,25,80.00%,71.43%,Pasadena Total
37,Retail Store Operations and Management-050650,30,22,19,73.33%,63.33%,29,24,15,82.76%,51.72%,Pasadena Total
38,Small Business and Entrepreneurship-050640,58,57,52,98.28%,89.66%,69,59,55,85.51%,79.71%,Pasadena Total
39,Non Distance Education Methods Total,"1,347","1,180","1,049",87.60%,77.88%,"1,460","1,169","1,071",80.07%,73.36%,Pasadena Total
40,Accounting-050200,506,428,380,84.58%,75.10%,643,527,473,81.96%,73.56%,Pasadena Total
41,Business Administration-050500,74,70,64,94.59%,86.49%,76,62,60,81.58%,78.95%,Pasadena Total
42,"Business and Commerce, General-050100",638,583,524,91.38%,82.13%,481,392,359,81.50%,74.64%,Pasadena Total
43,Business Management-050600,71,54,47,76.06%,66.20%,121,78,73,64.46%,60.33%,Pasadena Total
44,Marketing and Distribution-050900,33,22,18,66.67%,54.55%,77,64,60,83.12%,77.92%,Pasadena Total
45,Office Technology/Office Computer Applications-051400,10,10,9,100.00%,90.00%,39,24,24,61.54%,61.54%,Pasadena Total
46,Small Business and Entrepreneurship-050640,15,13,7,86.67%,46.67%,23,22,22,95.65%,95.65%,Pasadena Total
47,Porterville Total,497,445,369,89.54%,74.25%,518,423,354,81.66%,68.34%,Porterville Total
48,Delayed Interaction (Internet Based) Total,347,304,242,87.61%,69.74%,335,247,198,73.73%,59.10%,Porterville Total
49,Accounting-050200,72,61,46,84.72%,63.89%,76,68,57,89.47%,75.00%,Porterville Total
0,Business Administration-050500,151,134,110,88.74%,72.85%,149,109,88,73.15%,59.06%,Porterville Total
1,Business Management-050600,93,82,69,88.17%,74.19%,105,65,50,61.90%,47.62%,Porterville Total
2,Marketing and Distribution-050900,31,27,17,87.10%,54.84%,0,0,0,0,0,Porterville Total
3,Small Business and Entrepreneurship-050640,0,0,0,0,0,5,5,3,100.00%,60.00%,Porterville Total
4,Non Distance Education Methods Total,150,141,127,94.00%,84.67%,183,176,156,96.17%,85.25%,Porterville Total
5,Accounting-050200,61,58,54,95.08%,88.52%,72,71,65,98.61%,90.28%,Porterville Total
6,Business Administration-050500,11,8,2,72.73%,18.18%,32,30,25,93.75%,78.13%,Porterville Total
7,Business Management-050600,63,63,59,100.00%,93.65%,9,8,4,88.89%,44.44%,Porterville Total
8,Marketing and Distribution-050900,0,0,0,0,0,56,56,56,100.00%,100.00%,Porterville Total
9,Small Business and Entrepreneurship-050640,15,12,12,80.00%,80.00%,14,11,6,78.57%,42.86%,Porterville Total
10,Redwoods Total,537,501,385,93.30%,71.69%,469,433,334,92.32%,71.22%,Redwoods Total
11,Delayed Interaction (Internet Based) Total,319,295,235,92.48%,73.67%,314,292,225,92.99%,71.66%,Redwoods Total
12,Accounting-050200,119,111,88,93.28%,73.95%,63,59,50,93.65%,79.37%,Redwoods Total
13,Business Administration-050500,39,37,33,94.87%,84.62%,0,0,0,0,0,Redwoods Total
14,"Business and Commerce, General-050100",102,94,75,92.16%,73.53%,171,155,116,90.64%,67.84%,Redwoods Total
15,Small Business and Entrepreneurship-050640,59,53,39,89.83%,66.10%,80,78,59,97.50%,73.75%,Redwoods Total
16,Non Distance Education Methods Total,218,206,150,94.50%,68.81%,155,141,109,90.97%,70.32%,Redwoods Total
17,Accounting-050200,22,22,21,100.00%,95.45%,19,17,15,89.47%,78.95%,Redwoods Total
18,Business Administration-050500,0,0,0,0,0,28,24,22,85.71%,78.57%,Redwoods Total
19,"Business and Commerce, General-050100",145,138,102,95.17%,70.34%,76,69,49,90.79%,64.47%,Redwoods Total
20,Small Business and Entrepreneurship-050640,51,46,27,90.20%,52.94%,32,31,23,96.88%,71.88%,Redwoods Total
21,Reedley College Total,"1,255","1,167",900,92.99%,71.71%,"1,114","1,020",769,91.56%,69.03%,Reedley College Total
22,Delayed Interaction (Internet Based) Total,684,634,499,92.69%,72.95%,576,522,404,90.63%,70.14%,Reedley College Total
23,Accounting-050200,127,113,97,88.98%,76.38%,101,101,75,100.00%,74.26%,Reedley College Total
24,"Business and Commerce, General-050100",49,45,32,91.84%,65.31%,50,46,34,92.00%,68.00%,Reedley College Total
25,Business Management-050600,304,278,230,91.45%,75.66%,286,241,192,84.27%,67.13%,Reedley College Total
26,E-Commerce (Business emphasis)-050970,14,13,9,92.86%,64.29%,0,0,0,0,0,Reedley College Total
27,Marketing and Distribution-050900,86,85,57,98.84%,66.28%,50,47,42,94.00%,84.00%,Reedley College Total
28,Medical Office Technology-051420,57,55,36,96.49%,63.16%,44,43,30,97.73%,68.18%,Reedley College Total
29,Office Technology/Office Computer Applications-051400,47,45,38,95.74%,80.85%,45,44,31,97.78%,68.89%,Reedley College Total
30,Non Distance Education Methods Total,571,533,401,93.35%,70.23%,538,498,365,92.57%,67.84%,Reedley College Total
31,Accounting-050200,42,41,34,97.62%,80.95%,53,51,41,96.23%,77.36%,Reedley College Total
32,"Business and Commerce, General-050100",61,49,30,80.33%,49.18%,76,67,37,88.16%,48.68%,Reedley College Total
33,Business Management-050600,191,182,133,95.29%,69.63%,184,167,113,90.76%,61.41%,Reedley College Total
34,Medical Office Technology-051420,39,35,24,89.74%,61.54%,21,20,15,95.24%,71.43%,Reedley College Total
35,Office Technology/Office Computer Applications-051400,222,210,172,94.59%,77.48%,188,178,146,94.68%,77.66%,Reedley College Total
36,Small Business and Entrepreneurship-050640,16,16,8,100.00%,50.00%,16,15,13,93.75%,81.25%,Reedley College Total
37,Rio Hondo Total,"1,894","1,510","1,150",79.73%,60.72%,"1,673","1,431","1,146",85.53%,68.50%,Rio Hondo Total
38,Delayed Interaction (Internet Based) Total,"1,218",930,698,76.35%,57.31%,"1,197",998,801,83.38%,66.92%,Rio Hondo Total
39,Accounting-050200,389,298,241,76.61%,61.95%,385,335,264,87.01%,68.57%,Rio Hondo Total
40,Advertising-050910,0,0,0,0,0,67,62,53,92.54%,79.10%,Rio Hondo Total
41,Banking and Finance-050400,118,91,62,77.12%,52.54%,175,145,125,82.86%,71.43%,Rio Hondo Total
42,Business Administration-050500,133,88,84,66.17%,63.16%,245,187,157,76.33%,64.08%,Rio Hondo Total
43,"Business and Commerce, General-050100",208,163,132,78.37%,63.46%,108,100,79,92.59%,73.15%,Rio Hondo Total
44,Business Management-050600,38,37,9,97.37%,23.68%,0,0,0,0,0,Rio Hondo Total
45,International Business and Trade-050800,24,19,14,79.17%,58.33%,19,18,6,94.74%,31.58%,Rio Hondo Total
46,Logistics and Materials Transportation-051000,14,13,10,92.86%,71.43%,46,33,28,71.74%,60.87%,Rio Hondo Total
47,Management Development and Supervision-050630,148,115,76,77.70%,51.35%,88,74,57,84.09%,64.77%,Rio Hondo Total
48,Marketing and Distribution-050900,146,106,70,72.60%,47.95%,44,32,21,72.73%,47.73%,Rio Hondo Total
49,Small Business and Entrepreneurship-050640,0,0,0,0,0,20,12,11,60.00%,55.00%,Rio Hondo Total
0,Non Distance Education Methods Total,676,580,452,85.80%,66.86%,476,433,345,90.97%,72.48%,Rio Hondo Total
1,Accounting-050200,165,143,123,86.67%,74.55%,203,185,152,91.13%,74.88%,Rio Hondo Total
2,Banking and Finance-050400,125,100,61,80.00%,48.80%,42,38,32,90.48%,76.19%,Rio Hondo Total
3,Business Administration-050500,190,174,138,91.58%,72.63%,107,96,76,89.72%,71.03%,Rio Hondo Total
4,"Business and Commerce, General-050100",172,143,114,83.14%,66.28%,96,88,66,91.67%,68.75%,Rio Hondo Total
5,Marketing and Distribution-050900,0,0,0,0,0,28,26,19,92.86%,67.86%,Rio Hondo Total
6,Small Business and Entrepreneurship-050640,24,20,16,83.33%,66.67%,0,0,0,0,0,Rio Hondo Total
7,Riverside Total,"3,176","2,802","2,132",88.22%,67.13%,"2,677","2,350","1,854",87.78%,69.26%,Riverside Total
8,Delayed Interaction (Internet Based) Total,"1,721","1,476","1,124",85.76%,65.31%,"1,915","1,710","1,337",89.30%,69.82%,Riverside Total
9,Accounting-050200,324,269,222,83.02%,68.52%,398,350,273,87.94%,68.59%,Riverside Total
10,Banking and Finance-050400,36,32,23,88.89%,63.89%,0,0,0,0,0,Riverside Total
11,Business Administration-050500,343,274,190,79.88%,55.39%,407,368,296,90.42%,72.73%,Riverside Total
12,"Business and Commerce, General-050100",185,172,110,92.97%,59.46%,180,161,110,89.44%,61.11%,Riverside Total
13,Business Management-050600,73,64,53,87.67%,72.60%,0,0,0,0,0,Riverside Total
14,E-Commerce (Business emphasis)-050970,0,0,0,0,0,36,31,28,86.11%,77.78%,Riverside Total
15,Escrow-051110,26,23,16,88.46%,61.54%,0,0,0,0,0,Riverside Total
16,International Business and Trade-050800,34,31,23,91.18%,67.65%,53,47,36,88.68%,67.92%,Riverside Total
17,Management Development and Supervision-050630,252,219,182,86.90%,72.22%,265,238,192,89.81%,72.45%,Riverside Total
18,Marketing and Distribution-050900,38,28,21,73.68%,55.26%,71,69,48,97.18%,67.61%,Riverside Total
19,Office Technology/Office Computer Applications-051400,309,270,211,87.38%,68.28%,336,288,231,85.71%,68.75%,Riverside Total
20,Real Estate-051100,67,63,47,94.03%,70.15%,136,127,96,93.38%,70.59%,Riverside Total
21,Retail Store Operations and Management-050650,34,31,26,91.18%,76.47%,0,0,0,0,0,Riverside Total
22,Tax Studies-050210,0,0,0,0,0,33,31,27,93.94%,81.82%,Riverside Total
23,Non Distance Education Methods Total,"1,455","1,326","1,008",91.13%,69.28%,762,640,517,83.99%,67.85%,Riverside Total
24,Accounting-050200,371,315,250,84.91%,67.39%,201,143,120,71.14%,59.70%,Riverside Total
25,Advertising-050910,0,0,0,0,0,28,22,20,78.57%,71.43%,Riverside Total
26,Business Administration-050500,262,250,172,95.42%,65.65%,96,90,75,93.75%,78.13%,Riverside Total
27,"Business and Commerce, General-050100",500,463,375,92.60%,75.00%,283,255,208,90.11%,73.50%,Riverside Total
28,Business Management-050600,36,30,22,83.33%,61.11%,36,29,26,80.56%,72.22%,Riverside Total
29,International Business and Trade-050800,37,31,24,83.78%,64.86%,0,0,0,0,0,Riverside Total
30,Management Development and Supervision-050630,27,26,22,96.30%,81.48%,0,0,0,0,0,Riverside Total
31,Office Technology/Office Computer Applications-051400,36,32,25,88.89%,69.44%,26,23,16,88.46%,61.54%,Riverside Total
32,Real Estate-051100,79,76,58,96.20%,73.42%,51,39,28,76.47%,54.90%,Riverside Total
